rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,2.87,0.2,93.54
2,2,Barcelona,Spanish Primera Division,3.14,0.43,91.93
3,3,Bayern Munich,German Bundesliga,3.17,0.55,90.53
4,4,Liverpool,Barclays Premier League,2.66,0.36,89.56
5,6,Paris Saint-Germain,French Ligue 1,2.66,0.53,86.63
6,7,Atletico Madrid,Spanish Primera Division,2.19,0.32,86.0
7,5,Real Madrid,Spanish Primera Division,2.44,0.45,85.82
8,8,Chelsea,Barclays Premier League,2.33,0.41,85.58
9,9,Manchester United,Barclays Premier League,2.43,0.5,84.94
10,12,Atalanta,Italy Serie A,2.53,0.56,84.69
11,13,Juventus,Italy Serie A,2.49,0.56,84.38
12,11,Borussia Dortmund,German Bundesliga,2.58,0.62,84.14
13,14,Internazionale,Italy Serie A,2.47,0.58,83.67
14,10,RB Leipzig,German Bundesliga,2.35,0.53,83.34
15,16,Real Sociedad,Spanish Primera Division,2.16,0.47,82.29
16,20,Sevilla FC,Spanish Primera Division,2.19,0.49,82.23
17,18,Arsenal,Barclays Premier League,2.14,0.51,81.22
18,22,Leicester City,Barclays Premier League,2.14,0.51,81.17
19,17,Villarreal,Spanish Primera Division,2.07,0.47,81.09
20,19,Bayer Leverkusen,German Bundesliga,2.14,0.53,80.69
21,15,Tottenham Hotspur,Barclays Premier League,2.24,0.61,80.18
22,21,Napoli,Italy Serie A,2.27,0.67,79.47
23,24,FC Salzburg,Austrian T-Mobile Bundesliga,2.82,1.02,79.38
24,23,Ajax,Dutch Eredivisie,2.66,0.92,79.34
25,28,Lyon,French Ligue 1,2.18,0.65,78.46
26,25,Aston Villa,Barclays Premier League,2.18,0.7,77.5
27,27,Borussia Monchengladbach,German Bundesliga,2.34,0.8,77.44
28,32,Eintracht Frankfurt,German Bundesliga,2.3,0.79,77.15
29,31,VfL Wolfsburg,German Bundesliga,2.07,0.67,76.58
30,26,AS Roma,Italy Serie A,2.27,0.8,76.52
31,29,AC Milan,Italy Serie A,2.25,0.79,76.5
32,30,West Ham United,Barclays Premier League,2.05,0.68,76.06
33,33,FC Porto,Portuguese Liga,2.13,0.75,75.65
34,35,Lille,French Ligue 1,1.79,0.54,75.05
35,39,Brighton and Hove Albion,Barclays Premier League,1.93,0.65,74.69
36,37,Zenit St Petersburg,Russian Premier Liga,2.15,0.82,74.32
37,40,AS Monaco,French Ligue 1,2.16,0.83,74.16
38,38,Southampton,Barclays Premier League,1.87,0.64,73.92
39,41,Lazio,Italy Serie A,2.11,0.83,73.56
40,36,Benfica,Portuguese Liga,2.15,0.87,73.14
41,47,Athletic Bilbao,Spanish Primera Division,1.84,0.66,73.06
42,42,Celta Vigo,Spanish Primera Division,1.93,0.74,72.54
43,34,Everton,Barclays Premier League,1.91,0.73,72.49
44,46,Wolverhampton,Barclays Premier League,1.79,0.67,71.99
45,44,Real Betis,Spanish Primera Division,1.97,0.8,71.82
46,49,Flamengo,Brasileiro Série A,2.13,0.92,71.78
47,45,Shakhtar Donetsk,UEFA Europa League,2.23,1.0,71.75
48,48,Olympiacos,Greek Super League,1.91,0.78,71.43
49,53,VfB Stuttgart,German Bundesliga,2.1,0.93,71.02
50,54,TSG Hoffenheim,German Bundesliga,2.17,0.98,71.0
51,51,Eibar,Spanish Primera Division,1.7,0.64,70.84
52,50,Club Brugge,Belgian Jupiler League,1.94,0.84,70.37
53,43,Getafe,Spanish Primera Division,1.65,0.62,70.34
54,52,1. FC Union Berlin,German Bundesliga,1.81,0.76,69.96
55,57,Rangers,Scottish Premiership,1.92,0.86,69.63
56,60,Levante,Spanish Primera Division,1.99,0.92,69.35
57,55,SC Freiburg,German Bundesliga,2.04,0.97,69.04
58,56,Young Boys,Swiss Raiffeisen Super League,1.96,0.95,68.23
59,64,Sporting CP,Portuguese Liga,1.69,0.74,68.15
60,63,Osasuna,Spanish Primera Division,1.72,0.78,67.77
61,59,Leeds United,Barclays Premier League,2.05,1.05,67.46
62,62,Burnley,Barclays Premier League,1.66,0.75,67.17
63,61,Stade Rennes,French Ligue 1,1.62,0.73,67.12
64,66,Dinamo Zagreb,UEFA Europa League,1.98,1.04,66.47
65,65,Crystal Palace,Barclays Premier League,1.74,0.85,66.41
66,58,Hertha Berlin,German Bundesliga,1.81,0.91,66.25
67,68,FC Krasnodar,Russian Premier Liga,1.86,0.95,66.14
