rank,name,confed,off,def,spi
1,Spain,UEFA,3.4,0.41,93.08
2,Brazil,CONMEBOL,3.04,0.32,92.22
3,Belgium,UEFA,2.99,0.59,87.74
4,France,UEFA,2.87,0.53,87.66
5,Argentina,CONMEBOL,2.54,0.42,86.59
6,Germany,UEFA,3.02,0.69,86.43
7,England,UEFA,2.65,0.51,85.98
8,Italy,UEFA,2.51,0.46,85.54
9,Portugal,UEFA,2.65,0.54,85.54
10,Netherlands,UEFA,2.73,0.58,85.48
11,Switzerland,UEFA,2.53,0.62,82.6
12,Uruguay,CONMEBOL,2.36,0.56,81.8
13,Colombia,CONMEBOL,2.17,0.54,79.63
14,Denmark,UEFA,2.09,0.56,78.1
15,Mexico,CONCACAF,2.34,0.73,77.92
16,Croatia,UEFA,2.37,0.84,76.23
17,Chile,CONMEBOL,2.19,0.72,76.05
18,Ecuador,CONMEBOL,2.24,0.79,75.28
19,Austria,UEFA,2.11,0.73,74.57
20,Serbia,UEFA,2.13,0.8,73.43
21,Czech Republic,UEFA,2.13,0.8,73.38
22,USA,CONCACAF,2.06,0.76,73.26
23,Morocco,CAF,2.14,0.84,72.68
24,Sweden,UEFA,1.96,0.74,71.88
25,Russia,UEFA,2.13,0.87,71.86
26,Poland,UEFA,1.97,0.78,71.1
27,Algeria,CAF,2.07,0.88,70.66
28,Norway,UEFA,2.03,0.86,70.44
29,Venezuela,CONMEBOL,1.87,0.74,70.38
30,Japan,AFC,1.89,0.76,70.2
31,Peru,CONMEBOL,1.89,0.77,69.91
32,Iran,AFC,1.78,0.7,69.77
33,Turkey,UEFA,2.0,0.87,69.62
34,Paraguay,CONMEBOL,1.8,0.73,69.26
35,Senegal,CAF,1.6,0.59,69.06
36,Wales,UEFA,1.68,0.65,68.99
37,Australia,AFC,1.92,0.9,67.34
38,Greece,UEFA,1.54,0.66,66.15
39,Tunisia,CAF,1.73,0.82,65.82
40,Ghana,CAF,1.53,0.69,64.98
41,Ivory Coast,CAF,1.67,0.81,64.79
42,Ukraine,UEFA,1.64,0.81,64.18
43,Bosnia and Herzegovina,UEFA,1.82,1.03,62.64
44,Romania,UEFA,1.9,1.11,62.38
45,Canada,CONCACAF,1.91,1.13,62.06
46,Hungary,UEFA,1.65,0.94,61.27
47,Scotland,UEFA,1.53,0.84,61.08
48,South Korea,AFC,1.49,0.82,60.84
49,Egypt,CAF,1.54,0.88,60.47
50,Qatar,AFC,1.72,1.08,59.64
51,Basque Country,UEFA,1.63,1.0,59.32
52,Israel,UEFA,1.67,1.06,58.95
53,Nigeria,CAF,1.77,1.15,58.73
54,Zimbabwe,CAF,1.6,1.01,58.66
55,Slovenia,UEFA,1.36,0.79,58.59
56,Uganda,CAF,1.51,0.95,58.1
57,Iraq,AFC,1.39,0.84,58.09
58,Costa Rica,CONCACAF,1.49,0.93,58.04
59,Finland,UEFA,1.63,1.08,57.43
60,Burkina Faso,CAF,1.34,0.84,56.99
61,Northern Ireland,UEFA,1.41,0.91,56.72
62,Rep of Ireland,UEFA,1.31,0.84,56.04
63,Uzbekistan,AFC,1.54,1.1,55.15
64,Iceland,UEFA,1.47,1.05,54.63
65,Mali,CAF,1.13,0.74,54.19
66,Slovakia,UEFA,1.48,1.1,53.97
67,Bolivia,CONMEBOL,1.57,1.2,53.52
68,Honduras,CONCACAF,1.55,1.19,53.43
69,Saudi Arabia,AFC,1.54,1.21,52.56
70,Cameroon,CAF,1.25,0.95,52.08
71,Panama,CONCACAF,1.3,1.0,52.02
72,Georgia,UEFA,1.27,0.99,51.71
73,Albania,UEFA,1.3,1.01,51.66
74,FYR Macedonia,UEFA,1.43,1.15,51.63
75,Bahrain,AFC,1.27,1.01,51.07
76,Haiti,CONCACAF,1.47,1.23,50.56
77,Namibia,CAF,1.03,0.78,50.53
78,Gabon,CAF,1.23,1.01,50.17
79,Zambia,CAF,1.56,1.37,49.59
80,Montenegro,UEFA,1.28,1.09,49.44
81,China PR,AFC,1.2,1.02,49.21
82,Belarus,UEFA,1.32,1.16,48.9
83,Benin,CAF,1.14,0.97,48.62
84,Kosovo,UEFA,1.33,1.2,48.1
85,Bulgaria,UEFA,1.21,1.07,48.05
86,South Africa,CAF,1.35,1.23,47.99
87,Jamaica,CONCACAF,1.34,1.23,47.8
88,Congo,CAF,1.08,0.97,47.45
89,Armenia,UEFA,1.46,1.39,47.0
90,Guinea,CAF,1.22,1.16,46.45
91,Togo,CAF,1.28,1.26,45.47
92,Libya,CAF,1.3,1.3,45.06
93,Kenya,CAF,1.11,1.1,44.93
94,Cape Verde Islands,CAF,1.15,1.15,44.87
95,Congo DR,CAF,1.25,1.26,44.83
96,Guatemala,CONCACAF,1.23,1.24,44.79
97,New Zealand,OFC,1.26,1.3,44.18
98,Tanzania,CAF,1.18,1.21,44.12
99,Angola,CAF,1.03,1.13,42.17
100,Curacao,CONCACAF,1.29,1.47,41.53
101,El Salvador,CONCACAF,1.05,1.2,41.27
102,Equatorial Guinea,CAF,1.05,1.22,40.72
103,Gambia,CAF,1.17,1.37,40.62
104,Jordan,AFC,0.85,0.99,40.41
105,Oman,AFC,1.03,1.23,40.16
106,Ethiopia,CAF,1.08,1.33,39.21
107,Madagascar,CAF,1.26,1.57,38.6
108,Sudan,CAF,0.97,1.23,38.33
109,Luxembourg,UEFA,1.11,1.42,38.23
110,Liberia,CAF,1.05,1.37,37.46
111,Kuwait,AFC,1.02,1.35,37.28
112,Syria,AFC,1.36,1.78,37.12
113,Mozambique,CAF,1.09,1.44,37.07
114,Botswana,CAF,0.73,0.99,37.0
115,Mauritania,CAF,1.0,1.34,36.91
116,United Arab Emirates,AFC,1.04,1.43,36.24
117,Trinidad and Tobago,CONCACAF,1.09,1.5,35.92
118,Malawi,CAF,0.66,0.95,35.75
119,Azerbaijan,UEFA,0.84,1.19,35.67
120,Rwanda,CAF,0.69,1.03,34.9
121,Cuba,CONCACAF,0.89,1.31,34.58
122,Kazakhstan,UEFA,0.98,1.44,34.35
123,Lithuania,UEFA,1.03,1.53,34.08
124,Cyprus,UEFA,0.97,1.46,33.79
125,Niger,CAF,1.0,1.52,33.61
126,Guinea-Bissau,CAF,0.97,1.5,33.19
127,Sierra Leone,CAF,1.08,1.65,32.95
128,Burundi,CAF,0.9,1.42,32.69
129,St. Kitts and Nevis,CONCACAF,1.15,1.76,32.67
130,Estonia,UEFA,0.92,1.48,32.4
131,Lesotho,CAF,0.79,1.3,32.21
132,Comoros,CAF,0.95,1.54,31.84
133,Vietnam,AFC,0.68,1.19,31.55
134,Lebanon,AFC,0.61,1.09,31.4
135,Nicaragua,CONCACAF,0.86,1.48,30.76
136,Bermuda,CONCACAF,1.17,1.91,30.6
137,Latvia,UEFA,0.97,1.65,30.42
138,Dominican Republic,CONCACAF,1.01,1.73,30.13
139,Central African Republic,CAF,1.08,1.82,30.11
140,Palestine,AFC,0.78,1.42,29.82
141,Thailand,AFC,0.9,1.59,29.77
142,North Korea,AFC,0.87,1.59,28.99
143,Moldova,UEFA,0.75,1.45,28.42
144,Faroe Islands,UEFA,0.86,1.63,28.16
145,Kyrgyzstan,AFC,0.85,1.62,28.08
146,Turkmenistan,AFC,0.87,1.73,26.68
147,Fiji,OFC,0.67,1.45,26.35
148,Martinique,CONCACAF,0.94,1.85,26.34
149,Guyana,CONCACAF,1.13,2.22,25.06
150,Belize,CONCACAF,0.79,1.73,24.84
151,Suriname,CONCACAF,0.76,1.71,24.52
152,Antigua and Barbuda,CONCACAF,1.09,2.2,24.48
153,Chad,CAF,0.81,1.81,24.19
154,Solomon Islands,OFC,0.69,1.71,22.71
155,South Sudan,CAF,0.68,1.73,22.12
156,Malta,UEFA,0.71,1.83,21.54
157,Zanzibar,CAF,0.49,1.47,21.39
158,Puerto Rico,CONCACAF,0.73,1.89,21.11
159,New Caledonia,OFC,0.69,1.85,20.92
160,Malaysia,AFC,0.76,1.98,20.71
161,Barbados,CONCACAF,0.54,1.61,20.53
162,Dominica,CONCACAF,0.55,1.65,20.29
163,Eritrea,CAF,0.79,2.1,19.77
164,Tahiti,OFC,0.81,2.15,19.56
165,Philippines,AFC,0.72,2.02,19.31
166,Tajikistan,AFC,0.73,2.05,19.18
167,Swaziland,CAF,0.56,1.77,18.97
168,India,AFC,0.55,1.81,18.24
169,Singapore,AFC,0.65,2.05,17.47
170,St. Vincent and the Grenadines,CONCACAF,0.7,2.23,16.4
171,Hong Kong,AFC,0.34,1.57,16.04
172,Grenada,CONCACAF,0.68,2.22,16.04
173,Vanuatu,OFC,0.64,2.17,15.99
174,Sao Tome and Principe,CAF,0.75,2.4,15.54
175,Mauritius,CAF,0.7,2.31,15.5
176,St. Lucia,CONCACAF,0.64,2.24,15.12
177,Yemen,AFC,0.51,2.09,14.29
178,Liechtenstein,UEFA,0.54,2.25,13.23
179,Gibraltar,UEFA,0.45,2.12,12.66
180,Afghanistan,AFC,0.53,2.46,11.07
181,Aruba,CONCACAF,0.64,2.76,10.68
182,Djibouti,CAF,0.64,2.85,10.03
183,Indonesia,AFC,0.62,2.83,9.93
184,Myanmar,AFC,0.57,2.71,9.91
185,Montserrat,CONCACAF,0.81,3.24,9.65
186,Andorra,UEFA,0.26,2.06,9.47
187,Cayman Islands,CONCACAF,0.4,2.41,9.43
188,Papua New Guinea,OFC,0.6,2.88,9.16
189,Somalia,CAF,0.55,2.8,8.97
190,Bahamas,CONCACAF,0.73,3.44,7.5
191,Seychelles,CAF,0.41,2.8,7.04
192,Maldives,AFC,0.41,2.81,7.01
193,Bangladesh,AFC,0.26,2.48,6.73
194,French Guiana,CONCACAF,0.52,3.18,6.57
195,Nepal,AFC,0.21,2.47,6.12
196,Mongolia,AFC,0.25,2.72,5.41
197,San Marino,UEFA,0.29,2.85,5.27
198,Chinese Taipei,AFC,0.45,3.48,4.58
