rank,name,confed,off,def,spi
1,Spain,UEFA,3.48,0.49,92.5
2,Brazil,CONMEBOL,2.88,0.37,90.29
3,Belgium,UEFA,3.05,0.57,88.53
4,Argentina,CONMEBOL,2.67,0.41,88.04
5,Germany,UEFA,3.08,0.65,87.64
6,France,UEFA,2.85,0.53,87.45
7,England,UEFA,2.65,0.49,86.34
8,Portugal,UEFA,2.6,0.49,85.81
9,Netherlands,UEFA,2.64,0.55,85.2
10,Italy,UEFA,2.43,0.51,83.73
11,Colombia,CONMEBOL,2.21,0.4,83.26
12,Uruguay,CONMEBOL,2.37,0.5,83.16
13,Switzerland,UEFA,2.4,0.69,79.71
14,Croatia,UEFA,2.46,0.83,77.63
15,Mexico,CONCACAF,2.24,0.71,77.11
16,Russia,UEFA,2.28,0.78,76.14
17,Chile,CONMEBOL,2.13,0.7,75.78
18,Denmark,UEFA,2.01,0.62,75.59
19,Austria,UEFA,2.15,0.77,74.37
20,Sweden,UEFA,1.92,0.7,72.31
21,Peru,CONMEBOL,1.87,0.68,71.9
22,Norway,UEFA,2.03,0.82,71.4
23,Algeria,CAF,1.94,0.76,71.02
24,Poland,UEFA,1.91,0.74,70.99
25,Czech Republic,UEFA,2.07,0.87,70.85
26,Morocco,CAF,1.78,0.66,70.73
27,Ukraine,UEFA,1.87,0.73,70.7
28,Japan,AFC,1.94,0.8,70.23
29,Venezuela,CONMEBOL,1.9,0.77,70.17
30,Serbia,UEFA,2.05,0.9,69.8
31,USA,CONCACAF,1.84,0.75,69.54
32,Senegal,CAF,1.69,0.67,68.74
33,Bosnia and Herzegovina,UEFA,1.98,0.9,68.55
34,Ghana,CAF,1.53,0.57,68.24
35,Iran,AFC,1.74,0.73,68.21
36,Paraguay,CONMEBOL,1.75,0.75,68.07
37,Wales,UEFA,1.68,0.7,67.91
38,Ecuador,CONMEBOL,1.81,0.8,67.79
39,Turkey,UEFA,1.77,0.77,67.75
40,Australia,AFC,1.92,0.9,67.34
41,Mali,CAF,1.57,0.71,65.33
42,Ivory Coast,CAF,1.65,0.84,63.65
43,Romania,UEFA,1.75,0.95,63.14
44,Tunisia,CAF,1.57,0.81,62.67
45,South Korea,AFC,1.48,0.74,62.52
46,Nigeria,CAF,1.8,1.04,62.0
47,Costa Rica,CONCACAF,1.62,0.89,61.93
48,Greece,UEFA,1.49,0.79,61.59
49,Slovakia,UEFA,1.76,1.05,61.16
50,Canada,CONCACAF,1.82,1.16,59.71
51,Iceland,UEFA,1.65,1.01,59.61
52,Scotland,UEFA,1.6,0.97,59.43
53,Finland,UEFA,1.58,0.95,59.41
54,Iraq,AFC,1.46,0.86,59.17
55,Cameroon,CAF,1.34,0.77,58.85
56,Egypt,CAF,1.49,0.91,58.7
57,Qatar,AFC,1.61,1.02,58.57
58,Hungary,UEFA,1.59,1.03,57.98
59,Slovenia,UEFA,1.42,0.92,56.89
60,Israel,UEFA,1.65,1.15,56.36
61,Rep of Ireland,UEFA,1.35,0.87,56.31
62,Burkina Faso,CAF,1.36,0.9,55.92
63,Northern Ireland,UEFA,1.43,0.97,55.66
64,Uganda,CAF,1.23,0.8,55.18
65,Uzbekistan,AFC,1.51,1.08,55.12
66,Honduras,CONCACAF,1.6,1.16,55.12
67,Guinea,CAF,1.45,1.05,54.43
68,Georgia,UEFA,1.4,1.02,53.91
69,Kosovo,UEFA,1.49,1.12,53.68
70,Zambia,CAF,1.56,1.21,53.16
71,Bolivia,CONMEBOL,1.54,1.19,53.1
72,Saudi Arabia,AFC,1.57,1.22,53.09
73,Congo DR,CAF,1.41,1.11,52.03
74,Gabon,CAF,1.19,0.94,50.81
75,Haiti,CONCACAF,1.47,1.23,50.56
76,Panama,CONCACAF,1.29,1.09,49.55
77,China PR,AFC,1.2,1.02,49.21
78,FYR Macedonia,UEFA,1.27,1.12,48.66
