rank,prev_rank,name,league,off,def,spi
1,1,Bayern Munich,German Bundesliga,3.45,0.39,94.04
2,2,Manchester City,Barclays Premier League,2.87,0.26,92.71
3,4,Barcelona,Spanish Primera Division,2.88,0.45,89.88
4,3,Paris Saint-Germain,French Ligue 1,2.96,0.5,89.63
5,5,Real Madrid,Spanish Primera Division,2.64,0.41,88.53
6,6,Liverpool,Barclays Premier League,2.74,0.52,87.67
7,9,Borussia Dortmund,German Bundesliga,2.45,0.4,86.95
8,8,Atletico Madrid,Spanish Primera Division,2.35,0.37,86.49
9,11,Chelsea,Barclays Premier League,2.42,0.48,85.19
10,10,Internazionale,Italy Serie A,2.63,0.6,85.16
11,7,RB Leipzig,German Bundesliga,2.42,0.5,84.65
12,12,Manchester United,Barclays Premier League,2.38,0.52,83.82
13,14,Sevilla FC,Spanish Primera Division,2.02,0.42,81.53
14,17,Real Sociedad,Spanish Primera Division,2.11,0.48,81.49
15,18,FC Salzburg,Austrian T-Mobile Bundesliga,2.94,0.99,81.41
16,15,Napoli,Italy Serie A,2.18,0.53,81.27
17,19,AC Milan,Italy Serie A,2.35,0.63,81.26
18,13,Juventus,Italy Serie A,2.37,0.65,81.12
19,24,Arsenal,Barclays Premier League,2.12,0.52,80.66
20,16,Tottenham Hotspur,Barclays Premier League,2.26,0.61,80.5
21,22,Leicester City,Barclays Premier League,2.19,0.6,79.92
22,23,Atalanta,Italy Serie A,2.49,0.79,79.77
23,20,Ajax,Dutch Eredivisie,2.73,0.97,79.25
24,21,Bayer Leverkusen,German Bundesliga,2.11,0.61,78.48
25,28,Villarreal,Spanish Primera Division,2.12,0.68,77.03
26,25,Borussia Monchengladbach,German Bundesliga,2.23,0.76,76.8
27,27,Lyon,French Ligue 1,2.08,0.67,76.57
28,35,AS Roma,Italy Serie A,2.26,0.81,76.31
29,33,Wolverhampton,Barclays Premier League,1.83,0.53,76.13
30,31,Zenit St Petersburg,Russian Premier Liga,2.08,0.7,75.99
31,34,Getafe,Spanish Primera Division,1.77,0.5,75.7
32,29,Everton,Barclays Premier League,2.07,0.72,75.24
33,30,Shakhtar Donetsk,UEFA Champions League,2.38,0.95,74.93
34,36,Olympiacos,Greek Super League,2.01,0.71,74.62
35,26,Benfica,Portuguese Liga,2.22,0.86,74.58
36,37,West Ham United,Barclays Premier League,2.05,0.75,74.36
37,32,FC Porto,Portuguese Liga,2.15,0.82,74.36
38,40,Lille,French Ligue 1,1.86,0.63,74.16
39,38,Southampton,Barclays Premier League,2.01,0.76,73.42
40,44,Real Betis,Spanish Primera Division,1.95,0.73,73.03
41,42,Eintracht Frankfurt,German Bundesliga,2.09,0.84,72.84
42,39,TSG Hoffenheim,German Bundesliga,2.21,0.96,72.21
43,43,VfL Wolfsburg,German Bundesliga,1.9,0.74,72.13
44,45,Aston Villa,Barclays Premier League,2.05,0.87,71.42
45,48,Brighton and Hove Albion,Barclays Premier League,1.9,0.78,71.04
46,50,Athletic Bilbao,Spanish Primera Division,1.73,0.66,70.87
47,41,Granada,Spanish Primera Division,1.77,0.71,70.45
48,56,AS Monaco,French Ligue 1,2.06,0.94,70.31
49,47,Celta Vigo,Spanish Primera Division,1.79,0.74,69.89
50,46,Flamengo,Brasileiro Série A,2.05,0.94,69.89
51,53,CSKA Moscow,Russian Premier Liga,1.8,0.76,69.82
52,49,Lazio,Italy Serie A,2.03,0.95,69.37
53,51,Osasuna,Spanish Primera Division,1.73,0.73,69.19
54,52,Club Brugge,Belgian Jupiler League,1.99,0.95,68.64
55,60,Cadiz,Spanish Primera Division,1.67,0.72,68.42
56,58,Hertha Berlin,German Bundesliga,1.97,0.96,67.88
57,67,Levante,Spanish Primera Division,1.86,0.89,67.68
58,54,Leeds United,Barclays Premier League,1.92,0.95,67.48
59,59,Sheffield United,Barclays Premier League,1.66,0.75,67.39
